Date,Open,High,Low,Close,Adj Close,Volume
2020-11-11,60700,61400,60400,61300,59530.61328,25628510
2020-11-12,61000,61400,60700,61000,59239.27344,19800573
2020-11-13,61300,63200,61000,63200,61375.77344,31508829
2020-11-16,64000,66700,63900,66300,64386.29297,36354334
2020-11-17,67000,67000,65600,65700,63803.60938,30204089
2020-11-18,65700,66200,64700,64800,62929.58594,22963790
2020-11-19,64100,64800,63900,64600,62735.35938,16590290
2020-11-20,63900,65200,63900,64700,62832.47656,15068682
2020-11-23,64800,67800,64700,67500,65551.65625,27134398
2020-11-24,67900,69500,67000,67700,65745.88281,32158235
2020-11-25,67900,68300,66500,66600,64677.63281,32447065
2020-11-26,66100,68000,66000,68000,66037.21875,19023323
2020-11-27,68000,68400,67600,68200,66231.45313,14063434
2020-11-30,68400,68600,66700,66700,64774.74609,43811016
2020-12-01,67100,68300,67100,67800,65842.99219,22327173
2020-12-02,68400,69900,68300,69500,67493.92969,29703942
2020-12-03,70100,70500,69300,69700,67688.14844,23677989
2020-12-04,70400,72100,70100,71500,69436.19531,28130533
2020-12-07,72400,73500,71900,72900,70795.78906,28490496
2020-12-08,72200,72900,71600,71700,69630.42969,25000338
2020-12-09,72100,73900,72000,73900,71766.92188,24077996
2020-12-10,72700,73800,72500,72900,70795.78906,39882928
2020-12-11,73500,73800,73100,73400,71281.35938,18486672
2020-12-14,73600,74500,73200,73800,71669.8125,21510415
2020-12-15,73800,74100,73300,73800,71669.8125,20863671
2020-12-16,74100,74500,73400,73800,71669.8125,17512081
2020-12-17,73400,73700,72600,73300,71184.24219,24293214
2020-12-18,73300,73700,73000,73000,70892.90625,17613029
2020-12-21,73100,73400,72000,73000,70892.90625,20367355
2020-12-22,72500,73200,72100,72300,70213.10156,16304910
2020-12-23,72400,74000,72300,73900,71766.92188,19411326
2020-12-24,74100,78800,74000,77800,75554.35156,32502870
2020-12-28,79000,80100,78200,78700,76428.375,40085044
2020-12-29,78800,78900,77300,78300,77953.60156,30339449
2020-12-30,77400,81300,77300,81000,80641.65625,29417421
2021-01-04,81000,84400,80200,83000,82632.80469,38655276
2021-01-05,81600,83900,81600,83900,83528.82031,35335669
2021-01-06,83300,84500,82100,82200,81836.34375,42089013
2021-01-07,82800,84200,82700,82900,82533.25,32644642
2021-01-08,83300,90000,83000,88800,88407.14844,59013307
2021-01-11,90000,96800,89500,91000,90597.41406,90306177
2021-01-12,90300,91400,87800,90600,90199.17969,48682416
2021-01-13,89800,91200,89100,89700,89303.16406,36068848
2021-01-14,88700,90000,88700,89700,89303.16406,26393970
2021-01-15,89800,91800,88000,88000,87610.6875,33431809
2021-01-18,86600,87300,84100,85000,84623.95313,43227951
2021-01-19,84500,88000,83600,87000,86615.10938,39895044
2021-01-20,89000,89000,86500,87200,86814.22656,25211127
2021-01-21,87500,88600,86500,88100,87710.24219,25318011
2021-01-22,89000,89700,86800,86800,86415.99219,30861661
2021-01-25,87000,89900,86300,89400,89004.49219,27258534
2021-01-26,88800,89200,86500,86700,86316.4375,33178936
2021-01-27,86600,87700,85600,85600,85221.30469,26423070
2021-01-28,83200,85600,83200,83700,83329.71094,31859808
2021-01-29,84500,85000,82000,82000,81637.22656,39615978
2021-02-01,81700,83400,81000,83000,82632.80469,28046832
2021-02-02,84100,86400,83700,84400,84026.60938,26302077
2021-02-03,84800,85400,83400,84600,84225.72656,22112205
2021-02-04,83500,83800,82100,82500,82135.01563,24171688
2021-02-05,83100,84000,82500,83500,83130.59375,18036835
2021-02-08,83800,84200,83000,83000,82632.80469,15338765
2021-02-09,84000,84800,82700,82700,82334.13281,20898332
2021-02-10,82600,82600,81600,81600,81239,23025766
2021-02-15,83800,84500,83300,84200,83827.5,23529706
2021-02-16,84500,86000,84200,84900,84524.39844,20483100
2021-02-17,83900,84200,83000,83200,82831.92188,18307735
2021-02-18,83200,83600,82100,82100,81736.78906,21327683
2021-02-19,82300,82800,81000,82600,82234.57813,25880879
2021-02-22,83800,84200,82200,82200,81836.34375,25419886
2021-02-23,81200,82900,81100,82000,81637.22656,20587314
2021-02-24,81800,83600,81300,82000,81637.22656,26807651
2021-02-25,84000,85400,83000,85300,84922.63281,34155986
2021-02-26,82800,83400,82000,82500,82135.01563,38520800
2021-03-02,85100,85300,83000,83600,83230.14844,33498180
2021-03-03,83500,84000,82800,84000,83628.38281,19882132
2021-03-04,82600,83200,82200,82400,82035.46094,24348331
2021-03-05,81100,82600,81100,82100,81736.78906,20508971
2021-03-08,82900,83000,81600,82000,81637.22656,17641256
2021-03-09,81400,81900,80600,81400,81039.88281,25420764
2021-03-10,82400,82500,80700,80900,80542.09375,20038422
2021-03-11,81000,82500,81000,82000,81637.22656,23818297
2021-03-12,83100,83500,82400,82800,82433.6875,13530573
2021-03-15,82800,82900,81800,81800,81438.11719,13735798
2021-03-16,82200,83000,82100,82800,82433.6875,12293537
2021-03-17,82800,82900,82000,82300,81935.89844,11625146
2021-03-18,82800,83800,82600,82900,82533.25,18585244
2021-03-19,82100,82500,81800,81900,81537.67188,15869700
2021-03-22,82000,82300,81700,82000,81637.22656,12670506
2021-03-23,82600,82900,81800,81800,81438.11719,13299907
2021-03-24,81000,81600,80700,81000,80641.65625,17926638
2021-03-25,81000,82100,80800,81200,80840.76563,14758826
2021-03-26,81400,81600,81000,81500,81139.4375,12845778
2021-03-29,81700,81700,81000,81600,81239,14952134
2021-03-30,81600,82300,81300,82200,82200,13121698
2021-03-31,82400,82700,81400,81400,81400,17240518
2021-04-01,82500,83000,82000,82900,82900,18676461
2021-04-02,84000,85200,83900,84800,84800,22997538
2021-04-05,85800,86000,84800,85400,85400,16255990
2021-04-06,86200,86200,85100,86000,86000,19042023
2021-04-07,86100,86200,85400,85600,85600,17885538
2021-04-08,85700,85700,84100,84700,84700,19244259
2021-04-09,84700,84900,83400,83600,83600,18193707
2021-04-12,84100,84100,83100,83200,83200,12915282
2021-04-13,83000,84500,82800,84000,84000,15238206
2021-04-14,84000,84300,83400,84000,84000,13794652
2021-04-15,83700,84500,83400,84100,84100,16377412
2021-04-16,84700,84700,83600,83900,83900,15429522
2021-04-19,83800,84000,83300,83300,83300,15287311
2021-04-20,83300,84000,83100,83900,83900,15521965
2021-04-21,83300,83500,82500,82600,82600,21636079
2021-04-22,82900,83000,82400,82400,82400,13934746
2021-04-23,81900,82900,81600,82800,82800,17805080
